Etapa,Componente,Rede,Edição,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,% Não Alfabetizado,% Alfabetização Incompleta,% Intermediário 2º Ano,% Suficiente,% Desejável,% Muito Crítico,% Crítico,% Intermediário,% Adequado,Nº de Alunos Previstos,Nº de Alunos Avaliados,Participação (%)
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2016,186.93461594067568,53.459099890199475,Desejável,0.7013192499305096,3.988753233979773,8.229810344458937,12.175800209540508,74.90431696209028,,,,,0,93538,101.36104549099498
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2017,185.416434305675,55.5025823157614,Desejável,0.9360374414976602,6.08424336973479,10.2964118564743,10.1404056162246,72.5429017160686,,,,,0,641,101.746031746032
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2017,194.988594846963,55.0084329943179,Desejável,0.7075260136347331,3.26179583781844,6.79494079655544,10.666711517761,78.5690258342304,,,,,0,89184,102.396178972869
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2018,179.303956017275,54.9476925600498,Desejável,1.1437908496732,5.88235294117647,11.6013071895425,11.9281045751634,69.4444444444444,,,,,0,612,103.030303030303
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2018,195.112713566397,54.4764722505374,Desejável,0.652144066633106,2.91062193949934,6.80174820374354,10.7615212118439,78.8739645782802,,,,,0,87404,102.230487619449
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2019,191.213694228892,55.8353558529127,Desejável,1.34357005758157,3.83877159309021,9.21305182341651,9.59692898272553,76.0076775431862,,,,,0,521,87.858347386172
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2019,210.451001449457,55.4704579220757,Desejável,0.532061595035624,2.04435761893818,4.69662146632958,8.00390714778212,84.7230521719145,,,,,0,87020,102.222535475989
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,SPAECE DIAGNÓSTICO,155.0,,Desejável,9.0,12.0,13.0,13.0,53.0,,,,,0,518,78.0
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,SPAECE DIAGNÓSTICO,116.0,,Intermediário,14.0,26.0,28.0,16.0,17.0,,,,,0,90479,89.0
2º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,SPAECE FINAL (2022),189.794073161127,58.6182276404284,Desejável,1.74825174825175,6.46853146853147,8.21678321678322,9.44055944055944,74.1258741258741,,,,,0,572,90.3633491311216
2º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,SPAECE FINAL (2022),191.857278246376,60.595384578906,Desejável,1.46138009749645,4.70628393441923,9.20776131502875,12.4217308287199,72.2028438243357,,,,,0,93747,101.356874108031
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2008,178.690164749578,39.4487784004147,Intermediário,,,,,,8.25608967449882,39.663720629446,40.7415391248114,11.3386505712438,5701,4639,81.3716891773373
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2008,167.755721186729,37.1461304187737,Crítico,,,,,,12.4144948418387,47.4521133978506,33.3761632786447,6.75722848166606,155436,134641,86.6215033840294
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2009,180.572495257838,41.6119871302078,Intermediário,,,,,,9.0689238210399,36.6082224909311,40.2962515114873,14.0266021765417,3982,3308,83.073832245103
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2009,171.414857056684,40.9745167604375,Crítico,,,,,,13.1216193943753,42.129275857419,34.7552478985931,9.99385684961268,146466,133482,91.1351439924624
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2010,176.648962611555,41.273800468415,Intermediário,,,,,,10.0046970408643,41.3339596054486,36.2611554720526,12.4001878816346,2473,2130,86.1302062272543
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2010,175.349265732773,42.3669556900466,Intermediário,,,,,,10.9580037622102,42.2765148939706,34.1076838232517,12.6577975205675,135883,132793,97.7259848546176
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2011,187.1,46.8,Intermediário,,,,,,8.0,35.6,34.9,21.5,2164,1871,86.5
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2011,189.6,46.5,Intermediário,,,,,,6.4,35.4,35.8,22.4,131495,130267,99.1
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2012,200.360721672882,45.9054634195125,Intermediário,,,,,,3.76134889753567,26.8482490272374,41.5045395590143,27.8858625162127,1775,1542,86.8732394366197
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2012,200.393582425823,45.3916817048628,Intermediário,,,,,,3.05708558892694,28.7929483436183,39.1234355518379,29.0265305156169,133560,126722,94.8802036537886
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2013,194.628212187183,48.0692477114606,Intermediário,,,,,,5.91715976331361,32.5443786982249,35.7565511411665,25.781910397295,1369,1183,86.4134404674945
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2013,200.883406406413,47.9067302083475,Intermediário,,,,,,4.90595275382866,26.8599264766489,37.1663836732002,31.0677370963222,122222,121322,99.263635024791
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2014,202.726066478606,49.8691843236452,Intermediário,,,,,,5.6241426611797,25.2400548696845,36.3511659807956,32.7846364883402,785,729,92.8662420382166
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2014,207.066942470151,49.5203473090685,Intermediário,,,,,,4.3767840152236,23.1714662313742,36.8805593624246,35.5711903909776,113758,114559,100.704126303205
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2015,198.79663931489,45.2975011938663,Intermediário,,,,,,3.19888734353268,30.5980528511822,38.3866481223922,27.8164116828929,834,719,86.2110311750599
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2015,210.94655239109,46.777467932349,Intermediário,,,,,,2.16697884019806,21.6067355302932,38.9156760565992,37.3106095729095,106688,107846,101.085407918416
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2016,208.533863072135,48.3186746785182,Intermediário,,,,,,2.92307692307692,23.3846153846154,38.9230769230769,34.7692307692308,723,650,89.9031811894882
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2016,214.377006989756,47.0849679584852,Intermediário,,,,,,2.11233843439574,18.826947416868,39.1698308595098,39.8908832892264,103840,104292,100.435285053929
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2017,205.944590293969,51.3314797568316,Intermediário,,,,,,4.82093663911846,25.7575757575758,34.435261707989,34.9862258953168,729,726,99.5884773662551
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2017,225.330810206773,52.0740621640971,Adequado,,,,,,2.160139637598,16.255050772925,31.1407273113012,50.4440822781758,101869,103697,101.794461514298
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2018,212.627440407683,54.4542423857536,Intermediário,,,,,,3.90835579514825,24.2587601078167,32.4797843665768,39.3530997304582,763,742,97.2477064220184
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2018,229.399949840589,51.3903380548806,Adequado,,,,,,1.63274181501896,14.6634774469855,29.9263517154661,53.7774290225294,103753,105773,101.946931654988
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2019,214.45112504402,55.3537176529255,Intermediário,,,,,,4.82529118136439,21.4642262895175,31.4475873544093,42.2628951747088,692,601,86.849710982659
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2019,234.96661405794,53.6845314015649,Adequado,,,,,,1.7831455286502,13.4779828977863,26.8061216335012,57.9327499400623,98477,100104,101.652162433868
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,SPAECE DIAGNÓSTICO,207.0,,Intermediário,,,,,,6.0,27.0,28.0,39.0,613,507,83.0
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,SPAECE DIAGNÓSTICO,191.0,,Intermediário,,,,,,9.0,31.0,36.0,24.0,104583,93314,89.0
5º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,SPAECE FINAL (2022),226.265298286688,56.5257173754328,Adequado,,,,,,3.01318267419962,17.3258003766478,28.8135593220339,50.8474576271186,600,531,88.5
5º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,SPAECE FINAL (2022),234.733107498176,55.3436006908271,Adequado,,,,,,2.2979930650415,13.966586109068,25.7297467689398,58.0056740569507,93630,95170,101.6447719747944
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2008,180.492884950625,41.9545399449103,Crítico,,,,,,24.8329381332184,47.3809010562621,20.9743479198103,6.8118128907092,5701,4639,81.3716891773373
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2008,169.545880413211,38.3036367227533,Crítico,,,,,,33.6851330575382,46.6930578352805,16.1117341671556,3.5100749400257,155436,134641,86.6215033840294
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2009,184.903093508888,44.1529985816124,Crítico,,,,,,22.6420798065296,44.0145102781137,24.4558645707376,8.88754534461911,3982,3308,83.073832245103
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2009,177.398942228236,43.6775417797612,Crítico,,,,,,28.5192010907838,44.465920498644,20.3405702641555,6.67430814641675,146466,133482,91.1351439924624
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2010,189.89685068342,41.2681769348981,Crítico,,,,,,16.4866134335369,45.5612963832785,29.0277125410991,8.92437764208549,2473,2130,86.1302062272543
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2010,189.284437150026,44.6273805151927,Crítico,,,,,,19.6653446647781,43.9539187913126,26.0955618508026,10.2851746931067,135883,132800,97.7311363452382
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2011,201.2,45.6,Intermediário,,,,,,13.0,38.0,34.5,14.5,2164,1872,86.5
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2011,206.9,48.1,Intermediário,,,,,,11.4,36.1,33.8,18.7,131495,130269,99.1
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2012,203.729734072368,45.2734162581396,Intermediário,,,,,,12.1919584954604,34.6303501945525,37.8080415045396,15.3696498054475,1775,1542,86.8732394366197
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2012,209.623662662914,49.0588168737876,Intermediário,,,,,,11.6201073232323,32.125946969697,35.993529040404,20.2604166666667,133555,126720,94.8822582456666
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2013,203.506821011485,45.068241714292,Intermediário,,,,,,10.9704641350211,38.6497890295359,33.1645569620253,17.2151898734177,1369,1185,86.5595325054785
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2013,210.586148515739,47.719429932106,Intermediário,,,,,,9.79635584137192,33.8189463269849,35.8792975513233,20.5054002803199,122222,121290,99.2374531590057
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2014,208.519000121348,47.5883600410214,Intermediário,,,,,,10.8367626886145,34.9794238683128,34.4307270233196,19.7530864197531,785,729,92.8662420382166
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2014,219.04174029172,51.1541044768213,Intermediário,,,,,,8.65879847059029,28.7934074759502,35.346648742078,27.2011453113815,113758,114554,100.699731007929
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2015,210.043008434663,48.7020270601086,Intermediário,,,,,,10.4311543810848,36.1613351877608,31.1543810848401,22.2531293463143,834,719,86.2110311750599
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2015,227.526772685572,51.1490625841798,Intermediário,,,,,,5.92855685590816,25.3259639816755,36.5756625925033,32.169816569913,106688,107834,101.074160167966
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2016,213.470987797481,48.559782964341,Intermediário,,,,,,8.30769230769231,35.0769230769231,34.0,22.6153846153846,723,650,89.9031811894882
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2016,225.027480976854,48.6408702812992,Intermediário,,,,,,5.34012235582916,27.4993767140364,36.8860633258539,30.2744376042805,103840,104286,100.429506933744
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2017,209.955356772437,54.7077162008818,Intermediário,,,,,,15.2892561983471,29.8898071625344,30.8539944903581,23.9669421487603,729,726,99.5884773662551
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2017,230.909882177249,54.3429816125161,Intermediário,,,,,,6.89219553121112,23.4625881173033,32.8919833746396,36.753232976846,101869,103697,101.794461514298
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2018,216.993099348715,57.3460268865188,Intermediário,,,,,,12.9380053908356,29.2452830188679,27.6280323450135,30.188679245283,763,742,97.2477064220184
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2018,236.996360232662,55.8229243422022,Intermediário,,,,,,5.60980913035669,22.0752701386854,31.0052089734257,41.3097117575322,103753,105779,101.9527146203
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,2019,219.013837492382,53.7583695807553,Intermediário,,,,,,10.3161397670549,29.1181364392679,31.1148086522463,29.4509151414309,692,601,86.849710982659
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2019,241.651078804966,55.107784297496,Intermediário,,,,,,4.38148706831963,20.3340559223999,31.0040658122134,44.280391197067,98477,100103,101.651146968328
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,SPAECE DIAGNÓSTICO,209.0,,Intermediário,,,,,,15.0,32.0,28.0,24.0,613,509,83.0
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,SPAECE DIAGNÓSTICO,190.0,,Crítico,,,,,,21.0,41.0,29.0,9.0,104583,93253,89.0
5º Ano do Ensino Fundamental,Matemática,ESTADUAL,SPAECE FINAL (2022),231.104878154549,56.2855132423767,Intermediário,,,,,,9.41619585687382,20.15065913371,33.7099811676083,36.7231638418079,600,531,88.5
5º Ano do Ensino Fundamental,Matemática,MUNICIPAL,SPAECE FINAL (2022),236.780615101178,57.8824577004641,Intermediário,,,,,,6.81440850723998,21.2449824517159,31.3084504970263,40.6321585440178,93630,95166,101.64049983979493
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2008,222.73748886598887,42.27408676514878,Crítico,,,,,,29.67352485698935,44.74890174141146,21.905123099775608,3.6724503018235835,41921,31641,75.4776842155483
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2008,213.40498643270368,40.600330316707435,Crítico,,,,,,37.4949314168263,44.281939065143526,16.27539534948755,1.947734168542625,87225,71519,81.99369446832904
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2010,232.2761094636223,45.34680502094411,Crítico,,,,,,24.77417547790771,39.44051537007213,28.91254113857573,6.872768013444436,33048,28562,86.42580488985718
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2010,220.95753851411925,44.67315702055096,Crítico,,,,,,33.11528162728426,40.69737398412177,22.021656410015503,4.165687978578475,90536,85148,94.04877617743217
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2011,239.064590522253,46.1349026907474,Crítico,,,,,,20.8991246011619,37.834410537511,31.7761596989283,9.49030516239874,29607,24450,82.5818218664505
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2011,227.427161412236,45.9133918706443,Crítico,,,,,,28.9997536627992,39.4268554469853,25.4090957078665,6.16429518234834,90260,85314,94.52027476179924
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2012,245.78537895506827,44.95441026948218,Crítico,,,,,,16.133308951266343,35.90106976318918,36.577672122154155,11.387949163390326,25730,21874,85.01360279828994
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2012,235.40463267960433,45.82500333165197,Crítico,,,,,,23.074005975637785,37.98207308664675,31.042289128935877,7.901631808779591,92588,87020,93.98626171858125
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2013,244.53127892767935,46.03525380583921,Crítico,,,,,,17.843915390929084,34.112751927043504,37.07745452025223,10.965878161774896,22062,2488,89.90270570617884
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2013,241.80535262043009,45.281973169596014,Crítico,,,,,,18.533331806721673,37.66036480430889,33.987031076495455,9.819272312472826,88842,8529,94.55931954445737
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2014,241.11537588788397,45.76850710337407,Crítico,,,,,,18.484150214859564,37.96475057607274,33.493180544310896,10.057918664756803,18993,16057,84.54167324803875
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2014,239.08504011102988,45.713602367535586,Crítico,,,,,,20.47178937308423,38.76062050558851,31.230405240032166,9.53718488129509,87567,85801,97.9832585334658
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2015,242.4497942403965,46.14118582633251,Crítico,,,,,,18.6952102655317,37.91767246855546,31.901918434760514,11.485198831152331,18039,15742,87.26647818615223
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2015,243.7607426280399,46.18649551541138,Crítico,,,,,,18.243586780679454,37.457822972036055,32.11809567829905,12.18049456898544,87376,86540,99.04321552829151
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2016,249.96447330198197,45.2854066950318,Crítico,,,,,,14.256020642201834,34.461009174311926,37.564506880733944,13.718463302752294,17507,13952,79.69383675101388
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2016,250.29970590047606,46.31090704214338,Intermediário,,,,,,14.723322394477764,34.390630304401945,35.99524725585606,14.89080004526423,90281,88370,97.88327555078034
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2017,244.344809144344,48.2430605843811,Crítico,,,,,,19.4381631588102,34.5886241085406,32.9970429639937,12.9761697686554,12822,11498,89.6739978162533
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2017,257.08057609489,47.3942238555786,Intermediário,,,,,,12.7887632169534,30.3060415573395,37.4272858211538,19.4779094045532,89862,89563,99.6672675880795
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2018,250.383590244503,49.8089245969139,Intermediário,,,,,,16.4530696936409,31.893079458074,35.0299035762236,16.6239472720615,8826,8193,92.8280081577158
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2018,261.792319017189,47.2874156116672,Intermediário,,,,,,10.6009709279616,28.4504212934546,38.7165894760337,22.2320183025501,89477,89605,100.143053522134
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,2019,245.140422815994,51.823687091164,Crítico,,,,,,21.1304347826087,29.9304347826087,34.0347826086957,14.904347826087,6529,5750,88.068616939807
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,2019,263.595693005574,49.2045960979808,Intermediário,,,,,,11.2447030905701,26.3382111983728,38.0055370359907,24.4115486750664,88058,88495,100.496263826115
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,SPAECE DIAGNÓSTICO,251.0,,Intermediário,,,,,,20.0,28.0,31.0,21.0,3610,3011,83.0
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,SPAECE DIAGNÓSTICO,243.0,,Crítico,,,,,,23.0,31.0,30.0,15.0,119231,104697,88.0
9º Ano do Ensino Fundamental,Língua Portuguesa,ESTADUAL,SPAECE FINAL (2022),256.040083939202,53.1575715320627,Intermediário,,,,,,16.3943505954029,26.7515923566879,34.0348933813348,22.8191636665744,4026,3611,89.69200198708396
9º Ano do Ensino Fundamental,Língua Portuguesa,MUNICIPAL,SPAECE FINAL (2022),264.118843175847,51.6346704209463,Intermediário,,,,,,12.4356579097876,25.5166431540016,35.332863080032,26.7148358561787,104611,104908,100.28390895794897
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2008,230.49035554980654,45.05096190802388,Crítico,,,,,,46.812679750956036,36.72134256186593,14.187288644480263,2.2786890426977657,41921,31641,75.4776842155483
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2008,222.5343532526788,42.99460957032415,Muito Crítico,,,,,,54.177211650051035,33.925250632699004,10.640529090171842,1.2570086270781191,87225,71519,81.99369446832904
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2010,238.7334131535755,44.504434147136905,Crítico,,,,,,40.56372549019608,38.455882352941174,17.678571428571427,3.3018207282913163,33048,28560,86.41975308641975
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2010,231.5968193725246,44.26421985305596,Crítico,,,,,,47.90815607832089,35.58951965065502,13.670939568953374,2.8313847020707144,90536,85188,94.09295749757003
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2011,243.16284717771,43.7062950739362,Crítico,,,,,,34.6682483841937,41.7205268755625,20.2078049578663,3.40341978237749,29607,24450,82.5818218664505
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2011,235.928975448479,44.4324720593442,Crítico,,,,,,41.9606095086159,39.3646846297317,15.6236436791047,3.0510621825476,90260,85313,94.5191668513184
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2012,247.5680827004688,43.715352411606084,Crítico,,,,,,31.63573191917345,41.432751211483954,23.041053305293957,3.890463564048642,25732,21874,85.00699518109747
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2012,241.96564948982757,45.017854544969715,Crítico,,,,,,37.54022248781833,39.049140387974624,19.563068860899143,3.8475682633078976,92585,87016,93.98498676891505
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2013,245.12168366926952,45.25255967508754,Crítico,,,,,,32.78761404165057,42.3947803380229,20.687817453156793,4.129788167170397,22062,2488,89.90270570617884
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2013,245.45340371793472,47.169613425121696,Crítico,,,,,,35.96474456830097,37.651298347782735,20.627829378900273,5.756127705014773,88842,8529,94.55931954445737
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2014,239.15743610917482,45.08422799310808,Crítico,,,,,,39.01482127288579,38.884045335658236,19.111969111969113,2.98916427948686,18993,16058,84.54693834570631
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2014,241.63671877576854,47.530141216919894,Crítico,,,,,,38.453828133195024,37.252182426368606,19.527034114616722,4.766955325819648,87567,85799,97.98097456804504
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2015,240.4472845928522,42.29620714936175,Crítico,,,,,,37.3721329182286,41.787915369464386,17.968104708050067,2.8718470042569413,18039,15739,87.24984755252508
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2015,247.27106969603088,47.32929530849489,Crítico,,,,,,34.09673915555453,39.468697279933444,19.930207298190474,6.504356266321555,87376,86542,99.0455044863578
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2016,246.1361611462602,42.47161989290783,Crítico,,,,,,32.21991255107161,42.56325711418536,21.905239767758584,3.3115905669844454,17507,13951,79.68812475009996
9º Ano do Ensino Fundamental,Matemática,MUNICIPAL,2016,252.8478031709166,47.903309480917635,Crítico,,,,,,29.94681452981781,38.63980989023424,23.66074459658255,7.752630983365395,90281,88370,97.88327555078034
9º Ano do Ensino Fundamental,Matemática,ESTADUAL,2017,236.980678484194,44.3036957969717,Crítico,,,,,,43.6472736759718,35.6204887381511,17.5841377511088,3.14809983476824,12822,11499,89.6817969115583
