Etapa,Componente,Rede,Código da CREDE,CREDE,Código do Município,Município,Edição,Proficiência Média,Desvio Padrão,Indicação do Padrão de Desempenho,% Não Alfabetizado,% Alfabetização Incompleta,% Intermediário (2º Ano),% Suficiente,% Desejável,% Muito Crítico,% Crítico,% Intermediário,% Adequado,Nº de Alunos Previstos,Nº de Alunos Avaliados,Participação (%)
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,17,ICO,2303808,Cedro,2007,102.838222618386,64.0733577966762,Intermediário,40.4597701149425,15.4022988505747,12.4137931034483,10.3448275862069,21.3793103448276,,,,,570,435,76.3157894736842
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,4,CAMOCIM,2303907,Chaval,2007,108.104196498182,61.1500703224509,Intermediário,37.9807692307692,11.0576923076923,14.9038461538462,12.5,23.5576923076923,,,,,260,208,80
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,12,QUIXADA,2303931,Choró,2007,109.853561999937,64.4116272729155,Intermediário,38.0804953560372,17.3374613003096,11.7647058823529,9.28792569659443,23.5294117647059,,,,,405,323,79.7530864197531
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,9,HORIZONTE,2303956,Chorozinho,2007,122.322616936147,73.4930700271157,Intermediário,33.8403041825095,13.6882129277567,10.2661596958175,7.60456273764259,34.6007604562738,,,,,636,526,82.7044025157233
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2304004,Coreaú,2007,101.04041311738,67.5509636069048,Intermediário,45.7070707070707,14.6464646464646,8.83838383838384,7.82828282828283,22.979797979798,,,,,513,396,77.1929824561403
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,13,CRATEUS,2304103,Crateús,2007,114.470334858483,66.5079826166404,Intermediário,32.72921108742,15.3518123667377,15.0319829424307,10.5543710021322,26.3326226012793,,,,,1250,938,75.04
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,18,CRATO,2304202,Crato,2007,124.290263220656,69.6444074345804,Intermediário,28.6343612334802,16.8135095447871,12.7019089574156,9.98531571218796,31.8649045521292,,,,,1783,1362,76.3881099270892
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,5,TIANGUA,2304236,Croatá,2007,125.250047549626,69.4033321512816,Suficiente,28.6532951289398,13.1805157593123,12.8939828080229,10.8882521489971,34.3839541547278,,,,,412,349,84.7087378640777
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,3,ACARAU,2304251,Cruz,2007,171.391024401377,65.2099097220629,Desejável,7.41379310344828,7.41379310344828,12.4137931034483,13.448275862069,59.3103448275862,,,,,592,580,97.972972972973
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,14,SENADOR POMPEU,2304269,Deputado Irapuan Pinheiro,2007,154.415478249914,74.8000059507676,Desejável,14.1104294478528,17.1779141104294,12.2699386503067,7.97546012269939,48.4662576687117,,,,,207,163,78.743961352657
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,11,JAGUARIBE,2304277,Ererê,2007,91.5017301702815,67.5889316048666,Alfabetização Incompleta,56.25,13.5416666666667,6.25,4.16666666666667,19.7916666666667,,,,,139,96,69.0647482014388
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,1,MARACANAU,2304285,Eusébio,2007,118.959942242042,63.7232865301021,Intermediário,30.0121506682868,15.9173754556501,14.9453219927096,10.5710814094775,28.5540704738761,,,,,1096,823,75.0912408759124
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,19,JUAZEIRO DO NORTE,2304301,Farias Brito,2007,113.680353373373,74.3346749487884,Intermediário,39.6551724137931,13.7931034482759,11.6379310344828,5.60344827586207,29.3103448275862,,,,,312,232,74.3589743589744
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2304350,Forquilha,2007,104.006359791567,66.3649477740734,Intermediário,40.8408408408408,12.6126126126126,16.2162162162162,9.60960960960961,20.7207207207207,,,,,419,333,79.4749403341289
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,21,FORTALEZA,2304400,Fortaleza,2007,112.953469902487,64.3010822349415,Intermediário,34.5214585039256,16.492461827465,12.9184528683589,9.8742835123549,26.1933432878956,,,,,31859,20761,65.1652594243385
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,10,RUSSAS,2304459,Fortim,2007,155.811493964885,68.4158869427149,Desejável,14.5161290322581,9.67741935483871,16.5322580645161,9.67741935483871,49.5967741935484,,,,,302,248,82.1192052980132
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2304509,Frecheirinha,2007,128.191089386786,68.1672074743837,Suficiente,24.8,14.8,16.8,9.6,34.0,,,,,299,250,83.6120401337793
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,7,CANINDE,2304608,General Sampaio,2007,120.518392107114,68.8193572709453,Intermediário,32.2368421052632,12.5,13.1578947368421,11.1842105263158,30.9210526315789,,,,,191,152,79.5811518324607
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2304657,Graça,2007,133.297665593335,67.7731459397654,Suficiente,23.1316725978648,13.1672597864769,12.8113879003559,12.0996441281139,38.7900355871886,,,,,345,281,81.4492753623189
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,4,CAMOCIM,2304707,Granja,2007,142.494948917091,71.3871335168664,Suficiente,19.2579505300353,13.7809187279152,12.7208480565371,11.4840989399293,42.756183745583,,,,,763,566,74.1808650065531
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,19,JUAZEIRO DO NORTE,2304806,Granjeiro,2007,90.8818266223024,60.8636843485592,Alfabetização Incompleta,54.3689320388349,14.5631067961165,8.7378640776699,8.7378640776699,13.5922330097087,,,,,135,103,76.2962962962963
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2304905,Groaíras,2007,156.797792525769,67.2390688471902,Desejável,10.4712041884817,12.0418848167539,15.1832460732984,14.6596858638743,47.6439790575916,,,,,250,191,76.4
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,1,MARACANAU,2304954,Guaiuba,2007,128.987684776582,72.672334427781,Suficiente,28.641975308642,15.5555555555556,11.1111111111111,10.3703703703704,34.320987654321,,,,,472,405,85.8050847457627
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,5,TIANGUA,2305001,Guaraciaba do Norte,2007,116.072089572568,66.5719276395293,Intermediário,32.8824141519251,16.3371488033299,12.4869927159209,10.5098855359001,27.783558792924,,,,,1143,961,84.076990376203
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,8,BATURITE,2305100,Guaramiranga,2007,129.027160631593,64.1522582690728,Suficiente,19.2982456140351,19.2982456140351,18.4210526315789,11.4035087719298,31.5789473684211,,,,,139,114,82.0143884892086
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2305209,Hidrolândia,2007,94.1285406690356,60.4971323067229,Alfabetização Incompleta,48.6215538847118,13.0325814536341,10.2756892230576,9.77443609022556,18.2957393483709,,,,,487,399,81.9301848049281
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,9,HORIZONTE,2305233,Horizonte,2007,142.523054242351,74.2646223591492,Suficiente,22.0689655172414,12.6108374384236,12.9064039408867,10.64039408867,41.7733990147783,,,,,1332,1015,76.2012012012012
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,12,QUIXADA,2305266,Ibaretama,2007,89.329968199573,61.6610604627422,Alfabetização Incompleta,54.3933054393305,14.6443514644351,10.0418410041841,5.02092050209205,15.8995815899582,,,,,337,239,70.919881305638
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,5,TIANGUA,2305308,Ibiapina,2007,120.416670683259,69.9619657503185,Intermediário,33.9041095890411,14.7260273972603,11.3013698630137,9.93150684931507,30.1369863013699,,,,,356,292,82.0224719101124
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,12,QUIXADA,2305332,Ibicuitinga,2007,119.327839736661,60.3866242090237,Intermediário,29.1891891891892,13.5135135135135,13.5135135135135,13.5135135135135,30.2702702702703,,,,,233,185,79.3991416309013
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,10,RUSSAS,2305357,Icapuí,2007,127.935752783522,67.8338270544399,Suficiente,25.5681818181818,17.3295454545455,14.2045454545455,7.95454545454545,34.9431818181818,,,,,494,352,71.2550607287449
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,17,ICO,2305407,Icó,2007,91.3751022067878,56.9092149705105,Alfabetização Incompleta,48.6687965921193,15.122470713525,12.1405750798722,7.98722044728435,16.0809371671991,,,,,1340,939,70.0746268656716
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,16,IGUATU,2305506,Iguatu,2007,119.609177609106,70.2986664931892,Intermediário,33.8620142743854,14.5915939730373,11.1816019032514,9.8334655035686,30.5313243457573,,,,,1667,1261,75.6448710257948
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,13,CRATEUS,2305605,Independência,2007,153.990442202189,70.7074326566224,Desejável,17.4657534246575,8.9041095890411,10.958904109589,11.3013698630137,51.3698630136986,,,,,391,292,74.6803069053708
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,13,CRATEUS,2305654,Ipaporanga,2007,139.822035988366,72.1032412374429,Suficiente,23.6714975845411,11.1111111111111,14.0096618357488,9.17874396135266,42.0289855072464,,,,,248,207,83.4677419354839
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,17,ICO,2305704,Ipaumirim,2007,100.823226845043,63.6768119708548,Intermediário,41.8181818181818,11.5151515151515,13.9393939393939,14.5454545454545,18.1818181818182,,,,,289,165,57.0934256055363
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,5,TIANGUA,2305803,Ipu,2007,115.163285722482,64.053246567716,Intermediário,32.8467153284672,15.4744525547445,15.036496350365,8.90510948905109,27.7372262773723,,,,,852,685,80.3990610328639
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,13,CRATEUS,2305902,Ipueiras,2007,99.5047958732563,64.8711669574102,Alfabetização Incompleta,45.8188153310105,15.6794425087108,12.1951219512195,6.79442508710801,19.5121951219512,,,,,836,574,68.6602870813397
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,11,JAGUARIBE,2306009,Iracema,2007,127.998811338444,68.6554896651883,Suficiente,27.7511961722488,11.9617224880383,13.3971291866029,13.3971291866029,33.4928229665072,,,,,293,209,71.3310580204778
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,6,SOBRAL,2306108,Irauçuba,2007,124.34228577419,67.841697456403,Intermediário,27.9742765273312,11.2540192926045,18.3279742765273,10.9324758842444,31.5112540192926,,,,,419,311,74.2243436754177
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,10,RUSSAS,2306207,Itaiçaba,2007,167.121916848713,79.8596542319225,Desejável,20.0,5.33333333333333,8.0,6.66666666666667,60.0,,,,,94,75,79.7872340425532
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,1,MARACANAU,2306256,Itaitinga,2007,121.286355638736,67.4693072611054,Intermediário,29.9583911234397,14.9791955617198,14.2857142857143,11.6504854368932,29.126213592233,,,,,844,721,85.4265402843602
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,2,ITAPIPOCA,2306306,Itapajé,2007,134.694039269144,67.215522880065,Suficiente,20.3054806828392,15.9928122192273,15.5435759209344,10.3324348607367,37.8256963162624,,,,,1339,1113,83.1217326362957
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,2,ITAPIPOCA,2306405,Itapipoca,2007,102.283732446583,61.3873249068359,Intermediário,40.9333333333333,16.6222222222222,13.2,9.51111111111111,19.7333333333333,,,,,2804,2250,80.2425106990014
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,8,BATURITE,2306504,Itapiúna,2007,88.1327888464953,56.8085921321774,Alfabetização Incompleta,49.5454545454545,17.7272727272727,11.3636363636364,6.81818181818182,14.5454545454545,,,,,322,220,68.3229813664596
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,3,ACARAU,2306553,Itarema,2007,142.297798645221,74.1329724519342,Suficiente,24.6973365617433,9.44309927360775,10.1694915254237,8.95883777239709,46.7312348668281,,,,,472,413,87.5
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,7,CANINDE,2306603,Itatira,2007,110.755221147234,65.0825064692162,Intermediário,33.7811900191939,19.0019193857965,13.4357005758157,8.82917466410749,24.9520153550864,,,,,629,521,82.8298887122417
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,11,JAGUARIBE,2306702,Jaguaretama,2007,105.161189190827,59.8955499855372,Intermediário,38.8235294117647,13.8823529411765,17.4117647058824,11.5294117647059,18.3529411764706,,,,,521,425,81.573896353167
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,11,JAGUARIBE,2306801,Jaguaribara,2007,102.355766912472,66.4974191824159,Intermediário,44.2622950819672,11.4754098360656,16.3934426229508,5.73770491803279,22.1311475409836,,,,,158,122,77.2151898734177
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,11,JAGUARIBE,2306900,Jaguaribe,2007,107.903256733566,65.7367404229401,Intermediário,40.8284023668639,13.1360946745562,12.189349112426,8.87573964497041,24.9704142011834,,,,,1061,845,79.6418473138549
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,10,RUSSAS,2307007,Jaguaruana,2007,119.467543771486,71.0121423301908,Intermediário,35.207100591716,13.6094674556213,10.0591715976331,8.87573964497041,32.2485207100592,,,,,516,338,65.5038759689923
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,19,JUAZEIRO DO NORTE,2307106,Jardim,2007,108.830431391446,65.0695603875904,Intermediário,37.8071833648393,15.6899810964083,12.476370510397,9.64083175803403,24.3856332703214,,,,,655,529,80.7633587786259
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,20,BREJO SANTO,2307205,Jati,2007,137.00037103254,59.2895292673333,Suficiente,13.953488372093,16.2790697674419,18.6046511627907,17.4418604651163,33.7209302325581,,,,,119,86,72.2689075630252
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,3,ACARAU,2307254,Jijoca de Jericoacoara,2007,160.030282144588,73.5630979533429,Desejável,14.375,11.875,12.8125,9.375,51.5625,,,,,384,320,83.3333333333333
2º Ano do Ensino Fundamental,Língua Portuguesa,Municipal,19,JUAZEIRO DO NORTE,2307304,Juazeiro do Norte,2007,118.940896812028,66.5934493250775,Intermediário,31.0585498255138,15.2772392400155,13.183404420318,11.2446684761535,29.2361380379992,,,,,3790,2579,68.0474934036939
